ts,PID,TRUN,TSLPI,TSLPU,POLI,NICE,PRI,RTPR,CPUNR,Status,EXC,State,CPU,CMD,class
1666538960,3041,0,2,0,norm,0,122,0,0,N,0,S,0.0,gvfsd-metadata,normal
1666539010,2890,0,4,0,norm,19,141,0,0,N,0,S,0.0,tracker-miner-,normal
1666539040,2843,0,3,0,norm,0,122,0,0,N,0,S,0.0,dconf-service,normal
1666539055,1225,0,3,0,norm,0,122,0,1,N,0,S,0.0,polkitd,normal
1666539120,3000,0,3,0,norm,0,122,0,3,N,0,S,0.0,gvfsd-trash,normal
1666539140,2168,0,3,0,norm,0,122,0,3,N,0,S,0.0,colord,normal
1666539165,1544,0,3,0,norm,0,122,0,2,N,0,S,0.0,accounts-daemo,normal
1666539210,2922,0,3,0,norm,0,122,0,2,N,0,S,0.0,gvfs-udisks2-v,normal
1666539235,2966,0,2,0,norm,0,122,0,2,N,0,S,0.0,gvfs-gphoto2-v,normal
1666539255,2975,0,3,0,norm,0,122,0,2,N,0,S,0.0,gvfs-afc-volum,normal
1666539260,2609,0,2,0,norm,0,122,0,0,N,0,S,0.0,gvfsd,normal
1666539285,1500,0,1,0,norm,0,122,0,2,N,0,S,0.0,acpid,normal
1666539315,1473,0,3,0,norm,0,122,0,3,N,0,S,0.0,gdm-simple-sla,normal
1666539340,2558,0,4,0,norm,0,122,0,0,N,0,S,0.0,at-spi-bus-lau,normal
1666539345,2410,0,3,0,norm,0,122,0,2,N,0,S,0.0,gdm-session-wo,normal
1666539405,2675,0,4,0,norm,0,122,0,2,N,0,S,0.0,ibus-dconf,normal
1666539410,2777,0,3,0,norm,0,122,0,1,N,0,S,0.0,indicator-powe,normal
1666539420,2962,0,2,0,norm,0,122,0,2,N,0,S,0.0,gvfs-mtp-volum,normal
1666539545,3532,0,1,0,norm,0,122,0,1,N,0,S,0.0,sh,normal
1666539555,3096,0,1,0,norm,0,122,0,0,N,0,S,0.0,cat,normal
1666539875,3782,0,0,0,0,0,2,0,0,NE,0,E,0.0,<gdbus>,normal
1666540025,3781,0,0,0,0,0,2,0,0,NE,0,E,0.0,<compiz>,normal
1666540140,1943,0,2,0,norm,0,122,0,2,-,0,S,0.0,vmtoolsd,normal
1666540260,2866,0,9,0,norm,0,122,0,0,-,0,S,0.08,compiz,normal
1666540485,1463,0,1,0,norm,0,122,0,2,-,0,S,0.0,irqbalance,normal
1666540565,1534,0,1,0,norm,0,122,0,2,-,0,S,0.02,Xorg,normal
1666540595,3767,1,0,0,norm,20,102,0,2,-,0,R,0.0,atop,normal
1666540630,2889,0,4,0,norm,0,122,0,1,-,0,S,0.0,nautilus,normal
1666540985,2625,0,4,0,norm,0,122,0,3,-,0,S,0.0,hud-service,normal
1666541085,2799,0,3,0,norm,0,122,0,0,-,0,S,0.0,indicator-keyb,normal
1666541135,2843,0,3,0,norm,0,122,0,0,-,0,S,0.0,dconf-service,normal
1666541390,3855,0,0,0,0,0,2,0,0,NE,0,E,0.0,<bash>,normal
1666541535,2593,0,3,0,norm,0,122,0,3,-,0,S,0.01,ibus-daemon,normal
1666541580,2676,0,4,0,norm,0,122,0,2,-,0,S,0.0,ibus-ui-gtk3,normal
1666542045,3844,0,1,0,norm,0,122,0,3,-,0,S,0.0,tcpdump,normal
1666542105,2615,0,4,0,norm,0,122,0,1,-,0,S,0.0,unity-settings,normal
1666542185,3882,0,5,0,norm,0,122,0,3,-,0,S,0.03,ostinato,normal
1666542195,3768,1,0,0,norm,20,102,0,0,-,0,R,0.01,atop,normal
1666542245,1575,0,17,0,norm,0,122,0,3,-,0,S,0.0,navigation,normal
1666542290,1463,0,1,0,norm,0,122,0,2,-,0,S,0.0,irqbalance,normal
1666542305,1534,0,1,0,norm,0,122,0,3,-,0,S,0.05,Xorg,normal
1666542320,2866,0,8,0,norm,0,122,0,3,-,0,S,0.01,compiz,normal
1666542365,2889,0,4,0,norm,0,122,0,3,-,0,S,0.0,nautilus,normal
1666542825,3247,0,4,0,norm,0,122,0,0,-,0,S,0.14,gnome-terminal,normal
1666542920,3041,0,2,0,norm,0,122,0,1,-,0,S,0.0,gvfsd-metadata,normal
1666542950,3885,0,9,0,norm,0,122,0,3,-,0,S,0.08,drone,normal
1666543125,1943,0,2,0,norm,0,122,0,1,-,0,S,0.0,vmtoolsd,normal
1666543375,3882,0,3,0,norm,0,122,0,1,-,0,S,0.02,ostinato,normal
1666543400,3770,0,1,0,norm,20,102,0,1,-,0,S,0.01,atop,normal
1666543500,3768,0,1,0,norm,20,102,0,1,-,0,S,0.01,atop,normal
1666543610,3349,2,21,0,norm,0,122,0,0,-,0,R,0.31,Web-Content,normal
1666543715,1431,0,4,0,norm,0,122,0,2,-,0,S,0.0,whoopsie,normal
1666544070,3767,1,0,0,norm,20,102,0,0,-,0,R,0.0,atop,normal
1666544180,3289,0,63,0,norm,0,122,0,3,-,0,S,0.0,SLAM,normal
1666544215,2880,0,5,0,norm,0,122,0,0,-,0,S,0.0,evolution-cale,normal
1666544305,3985,0,1,0,norm,0,122,0,3,N,0,S,0.0,apt-get,normal
1666544400,3953,0,0,0,0,0,2,0,0,NE,0,E,0.0,<cat>,normal
1666544455,3965,0,0,0,0,0,2,0,0,NE,0,E,0.0,<dpkg>,normal
1666544755,1431,0,3,0,norm,0,122,0,3,-,0,S,0.0,whoopsie,normal
1666544980,4025,0,0,0,0,0,2,0,0,NE,0,E,0.0,<gpgv>,normal
1666545190,2552,0,4,0,norm,0,122,0,1,-,0,S,0.0,bamfdaemon,normal
1666545280,2593,0,3,0,norm,0,122,0,3,-,0,S,0.0,ibus-daemon,normal
1666545285,4043,0,1,0,norm,0,122,0,0,N,0,S,0.0,bash,normal
1666545375,2799,0,3,0,norm,0,122,0,1,-,0,S,0.0,indicator-keyb,normal
1666545575,4066,0,0,0,0,0,2,0,0,NE,0,E,0.0,<dirname>,normal
1666545580,4065,0,0,0,0,0,2,0,0,NE,0,E,0.0,<lesspipe>,normal
1666545615,4070,0,3,0,norm,0,122,0,0,N,0,S,0.19,wireshark,normal
1666545770,4071,0,0,0,0,0,2,0,0,NE,0,E,0.0,<dumpcap>,normal
1666545775,3211,0,3,0,norm,10,132,0,1,-,0,S,0.0,update-manager,normal
1666545795,2615,0,4,0,norm,0,122,0,3,-,0,S,0.0,unity-settings,normal
1666545905,2783,0,4,0,norm,0,122,0,3,-,0,S,0.0,indicator-soun,normal
1666546090,1240,0,1,0,norm,0,122,0,3,-,0,S,0.0,upstart-socket,normal
1666546170,3885,1,11,0,norm,0,122,0,1,-,0,S,1.01,drone,normal
1666546330,3768,0,1,0,norm,20,102,0,1,-,0,S,0.01,atop,normal
1666546350,3247,0,4,0,norm,0,122,0,0,-,0,S,0.0,gnome-terminal,normal
1666546625,3247,0,4,0,norm,0,122,0,1,-,0,S,0.0,gnome-terminal,normal
1666546720,2615,0,4,0,norm,0,122,0,0,-,0,S,0.0,unity-settings,normal
1666546810,2934,0,3,0,norm,0,122,0,1,-,0,S,0.0,mission-contro,normal
1666546900,2410,0,3,0,norm,0,122,0,3,-,0,S,0.0,gdm-session-wo,normal
1666547115,1337,0,1,0,norm,0,122,0,2,-,0,S,0.0,getty,normal
1666547120,1354,0,1,0,norm,0,122,0,3,-,0,S,0.0,getty,normal
1666547315,3844,1,0,0,norm,0,122,0,3,-,0,R,0.01,tcpdump,normal
1666547445,3767,1,0,0,norm,20,102,0,3,-,0,R,0.01,atop,normal
1666547465,3991,0,1,0,norm,0,122,0,3,-,0,S,0.01,http,normal
1666547520,2676,0,4,0,norm,0,122,0,1,-,0,S,0.0,ibus-ui-gtk3,normal
1666547595,2866,0,8,0,norm,0,122,0,1,-,0,S,0.04,compiz,normal
1666547695,2880,0,5,0,norm,0,122,0,3,-,0,S,0.0,evolution-cale,normal
1666547710,2552,0,4,0,norm,0,122,0,0,-,0,S,0.0,bamfdaemon,normal
1666548020,3289,0,62,0,norm,0,122,0,3,-,0,S,0.0,SLAM,normal
1666548050,2889,0,4,0,norm,0,122,0,1,-,0,S,0.0,nautilus,normal
1666548090,3770,0,1,0,norm,20,102,0,0,-,0,S,0.01,atop,normal
1666548140,2901,0,3,0,norm,0,122,0,1,-,0,S,0.0,vmtoolsd,normal
1666548280,3349,0,22,0,norm,0,122,0,1,-,0,S,0.11,Web-Content,normal
1666548285,3767,1,0,0,norm,20,102,0,3,-,0,R,0.01,atop,normal
1666548305,3882,0,3,0,norm,0,122,0,1,-,0,S,0.0,ostinato,normal
1666548455,2023,0,3,0,norm,0,122,0,3,-,0,S,0.0,upowerd,normal
1666548625,1575,0,17,0,norm,0,122,0,3,-,0,S,0.0,navigation,normal
1666548795,2975,0,3,0,norm,0,122,0,2,-,0,S,0.0,gvfs-afc-volum,normal
1666548805,2097,0,1,0,norm,0,122,0,0,-,0,S,0.0,atop,normal
1666548860,1431,0,4,0,norm,0,122,0,0,-,0,S,0.0,whoopsie,normal
1666549230,3844,0,1,0,norm,0,122,0,3,-,0,S,0.01,tcpdump,normal
1666549750,3767,1,0,0,norm,20,102,0,1,-,0,R,0.01,atop,normal
1666549765,3289,0,63,0,norm,0,122,0,0,-,0,S,0.0,SLAM,normal
1666549785,3178,0,4,0,norm,0,122,0,0,-,0,S,0.0,update-notifie,normal
1666549850,1534,1,0,0,norm,0,122,0,0,-,0,R,0.09,Xorg,normal
1666549920,2512,0,1,0,norm,0,122,0,1,-,0,S,0.0,dbus-daemon,normal
1666549955,3074,0,7,0,norm,0,122,0,1,-,0,S,0.0,zeitgeist-data,normal
1666549990,2529,0,1,0,norm,0,122,0,0,-,0,S,0.0,window-stack-b,normal
1666550110,3349,0,22,0,norm,0,122,0,1,-,0,S,0.32,Web-Content,normal
1666550135,3844,0,1,0,norm,0,122,0,1,-,0,S,0.02,tcpdump,normal
1666550205,1760,0,1,0,norm,0,122,0,2,-,0,S,0.0,haveged,normal
1666550315,3770,0,1,0,norm,20,102,0,1,-,0,S,0.01,atop,normal
1666550355,3990,0,1,0,norm,0,122,0,3,-,0,S,0.0,http,normal
1666550455,2887,0,3,0,norm,0,122,0,1,-,0,S,0.0,nm-applet,normal
1666550670,3813,0,1,0,norm,0,122,0,2,-,0,S,0.0,bash,normal
1666550710,2845,0,3,0,norm,0,122,0,1,-,0,S,0.0,ibus-engine-si,normal
1666550765,2962,0,2,0,norm,0,122,0,2,-,0,S,0.0,gvfs-mtp-volum,normal
1666550840,3270,0,1,0,norm,0,122,0,1,-,0,S,0.0,sudo,normal
1666551050,4193,0,5,0,norm,0,122,0,2,-,0,S,0.08,wireshark,normal
1666551245,2629,0,4,0,norm,0,122,0,0,-,0,S,0.0,gnome-session,normal
1666551400,1544,0,3,0,norm,0,122,0,0,-,0,S,0.0,accounts-daemo,normal
1666551475,2845,0,3,0,norm,0,122,0,1,-,0,S,0.0,ibus-engine-si,normal
1666551505,1760,0,1,0,norm,0,122,0,0,-,0,S,0.0,haveged,normal
1666551540,1195,0,3,0,norm,0,122,0,2,-,0,S,0.0,ModemManager,normal
1666551620,1916,0,1,0,norm,0,122,0,3,-,0,S,0.0,pickup,normal
1666551850,3768,0,1,0,norm,20,102,0,0,-,0,S,0.01,atop,normal
1666551900,2589,0,1,0,norm,0,122,0,2,-,0,S,0.0,upstart-dbus-b,normal
1666551960,2023,0,3,0,norm,0,122,0,1,-,0,S,0.0,upowerd,normal
1666551995,3997,0,0,0,0,0,2,0,0,N,2,E,0.0,<gpgv>,normal
1666552050,3247,0,4,0,norm,0,122,0,1,-,0,S,0.0,gnome-terminal,normal
1666552075,2676,0,4,0,norm,0,122,0,1,-,0,S,0.0,ibus-ui-gtk3,normal
1666552090,2886,0,3,0,norm,0,122,0,1,-,0,S,0.0,unity-fallback,normal
1666552170,2558,0,4,0,norm,0,122,0,0,-,0,S,0.0,at-spi-bus-lau,normal
1666552185,2934,0,3,0,norm,0,122,0,1,-,0,S,0.0,mission-contro,normal
1666552235,1473,0,3,0,norm,0,122,0,3,-,0,S,0.0,gdm-simple-sla,normal
1666552250,1431,0,3,0,norm,0,122,0,3,-,0,S,0.0,whoopsie,normal
1666552480,4242,0,0,0,0,0,2,0,0,NE,0,E,0.0,<apt-config>,normal
1666552825,4326,0,0,0,0,0,2,0,0,NE,0,E,0.0,<xargs>,normal
1666552990,2866,0,8,0,norm,0,122,0,3,-,0,S,0.03,compiz,normal
1666553050,1943,0,2,0,norm,0,122,0,2,-,0,S,0.0,vmtoolsd,normal
1666553055,1574,0,7,0,norm,0,122,0,1,-,0,S,0.0,named,normal
1666553085,1544,0,3,0,norm,0,122,0,0,-,0,S,0.0,accounts-daemo,normal
1666553145,2893,0,8,0,norm,0,122,0,1,-,0,S,0.0,tracker-store,normal
1666553185,2887,0,3,0,norm,0,122,0,2,-,0,S,0.0,nm-applet,normal
1666553375,2783,0,4,0,norm,0,122,0,3,-,0,S,0.0,indicator-soun,normal
1666553400,3041,0,2,0,norm,0,122,0,1,-,0,S,0.0,gvfsd-metadata,normal
1666553420,2581,0,2,0,norm,0,122,0,3,-,0,S,0.0,at-spi2-regist,normal
1666553515,2575,0,1,0,norm,0,122,0,1,-,0,S,0.0,dbus-daemon,normal
1666553675,1240,0,1,0,norm,0,122,0,2,-,0,S,0.0,upstart-socket,normal
1666553785,4376,0,0,0,0,0,2,0,0,NE,0,E,0.0,<gzip>,normal
1666553855,4393,0,0,0,0,0,2,0,0,NE,0,E,0.0,<xargs>,normal
1666553865,4396,0,0,0,0,0,2,0,0,NE,0,E,0.0,<which>,normal
1666554205,3256,0,1,0,norm,0,122,0,3,-,0,S,0.0,bash,normal
1666554320,3768,1,0,0,norm,20,102,0,0,-,0,R,0.0,atop,normal
1666554640,3770,0,1,0,norm,20,102,0,1,-,0,S,0.01,atop,normal
1666554710,1463,0,1,0,norm,0,122,0,1,-,0,S,0.0,irqbalance,normal
1666554865,3885,1,11,0,norm,0,122,0,1,-,0,S,1.0,drone,normal
1666554895,3769,0,1,0,norm,20,102,0,3,-,0,S,0.0,atop,normal
1666554910,3768,0,1,0,norm,20,102,0,2,-,0,S,0.0,atop,normal
1666554935,1760,0,1,0,norm,0,122,0,0,-,0,S,0.0,haveged,normal
1666555035,2889,0,4,0,norm,0,122,0,1,-,0,S,0.0,nautilus,normal
1666555080,3403,0,3,0,norm,0,122,0,1,-,0,S,0.0,deja-dup-monit,normal
1666555205,2552,0,4,0,norm,0,122,0,1,-,0,S,0.0,bamfdaemon,normal
1666555280,2886,0,3,0,norm,0,122,0,0,-,0,S,0.0,unity-fallback,normal
1666555445,2639,0,3,0,norm,0,122,0,3,-,0,S,0.01,unity-panel-se,normal
1666555680,2590,0,1,0,norm,0,122,0,2,-,0,S,0.0,upstart-dbus-b,normal
1666555700,3349,0,22,0,norm,0,122,0,2,-,0,S,0.17,Web-Content,normal
1666555750,3882,0,3,0,norm,0,122,0,0,-,0,S,0.0,ostinato,normal
1666555785,2676,0,4,0,norm,0,122,0,1,-,0,S,0.0,ibus-ui-gtk3,normal
1666555800,1431,0,4,0,norm,0,122,0,3,-,0,S,0.0,whoopsie,normal
1666556045,2615,0,4,0,norm,0,122,0,2,-,0,S,0.0,unity-settings,normal
1666556070,2799,0,3,0,norm,0,122,0,3,-,0,S,0.0,indicator-keyb,normal
1666556165,2417,0,6,0,norm,0,122,0,1,-,0,S,0.0,gnome-keyring-,normal
1666556185,2581,0,2,0,norm,0,122,0,0,-,0,S,0.0,at-spi2-regist,normal
1666556215,1155,0,1,0,norm,0,122,0,2,-,0,S,0.0,cups-browsed,normal
1666556220,1911,0,1,0,norm,0,122,0,3,-,0,S,0.0,master,normal
1666556225,1916,0,1,0,norm,0,122,0,3,-,0,S,0.0,pickup,normal
1666556285,1534,0,1,0,norm,0,122,0,0,-,0,S,0.01,Xorg,normal
1666556500,2866,0,8,0,norm,0,122,0,3,N,0,S,0.05,compiz,normal
1666556645,2880,0,5,0,norm,0,122,0,0,N,0,S,0.0,evolution-cale,normal
1666556800,3058,0,3,0,norm,0,122,0,3,N,0,S,0.0,telepathy-indi,normal
1666556935,3256,0,1,0,norm,0,122,0,3,N,0,S,0.0,bash,normal
1666556950,3813,0,1,0,norm,0,122,0,2,N,0,S,0.0,bash,normal
1666557090,3270,0,1,0,norm,0,122,0,1,N,0,S,0.0,sudo,normal
1666557100,4466,1,0,0,norm,0,122,0,2,N,0,R,0.0,atop,normal
1666557400,2099,0,1,0,norm,0,122,0,0,-,0,S,0.0,atop,normal
