ts,PID,RDDSK,WRDSK,WCANCL,DSK,CMD,class
1666536900,11826,0.0,0,0,0.0,<cp>,normal
1666536985,10164,0.0,0,0,0.0,<mkdir>,normal
1666536990,10165,0.0,0,0,0.0,<cp>,normal
1666537040,10175,0.0,0,0,0.0,<modinfo>,normal
1666537085,10184,0.0,0,0,0.0,<modinfo>,normal
1666537225,10212,0.0,0,0,0.0,<mkdir>,normal
1666537320,10231,0.0,0,0,0.0,<cp>,normal
1666537350,10237,0.0,0,0,0.0,<cp>,normal
1666537475,10262,0.0,0,0,0.0,<modinfo>,normal
1666537725,10312,0.0,0,0,0.0,<cp>,normal
1666537895,10347,0.0,0,0,0.0,<modinfo>,normal
1666537985,10365,0.0,0,0,0.0,<modinfo>,normal
1666538080,10384,0.0,0,0,0.0,<mkdir>,normal
1666538085,10385,0.0,0,0,0.0,<cp>,normal
1666538135,10395,0.0,0,0,0.0,<modinfo>,normal
1666538220,10412,0.0,0,0,0.0,<cp>,normal
1666538485,10465,0.0,0,0,0.0,<find>,normal
1666538545,10478,0.0,0,0,0.0,<mkdir>,normal
1666538595,10488,0.0,0,0,0.0,<cp>,normal
1666538720,10513,0.0,0,0,0.0,<cp>,normal
1666538920,10553,0.0,0,0,0.0,<modinfo>,normal
1666538975,2972,6496.0,8,0,0.01,vmtoolsd,normal
1666539010,2914,0.0,2832,0,0.0,dconf-service,normal
1666539045,10578,0.0,0,0,0.0,<mkdir>,normal
1666539070,10583,0.0,0,0,0.0,<modinfo>,normal
1666539085,10586,0.0,0,0,0.0,<modinfo>,normal
1666539175,10604,0.0,0,0,0.0,<modinfo>,normal
1666539210,2746,52.0,0,0,0.0,ibus-dconf,normal
1666539220,3027,36.0,4,0,0.0,gconfd-2,normal
1666539240,2751,20.0,0,0,0.0,ibus-x11,normal
1666539265,1226,16.0,0,0,0.0,cups-browsed,normal
1666539310,10631,0.0,0,0,0.0,<modinfo>,normal
1666539520,10674,0.0,0,0,0.0,<modinfo>,normal
1666539565,3167,0.0,0,0,0.0,cat,normal
1666539580,1855,0.0,0,0,0.0,netatop,normal
1666539685,2696,0.0,0,0,0.0,hud-service,normal
1666539695,2664,0.0,0,0,0.0,ibus-daemon,normal
1666539730,10717,0.0,0,0,0.0,<modinfo>,normal
1666539735,10718,0.0,0,0,0.0,<mkdir>,normal
1666539745,2957,0.0,0,0,0.0,unity-fallbac,normal
1666539780,10698,0.0,0,0,0.0,<mkinitramfs>,normal
1666539785,3037,0.0,0,0,0.0,gvfs-gphoto2-v,normal
1666539790,2600,0.0,0,0,0.0,window-stac-b,normal
1666539905,10752,0.0,0,0,0.0,<mkdir>,normal
1666539910,10753,0.0,0,0,0.0,<cp>,normal
1666539930,2958,0.0,0,0,0.0,nm-applet,normal
1666539980,10767,0.0,0,0,0.0,<mkdir>,normal
1666540020,10775,0.0,0,0,0.0,<modinfo>,normal
1666540145,2014,0.0,0,0,0.0,vmtoolsd,normal
1666540230,10817,0.0,0,0,0.0,<modinfo>,normal
1666540235,2661,0.0,0,0,0.0,upstart-dbus-b,normal
1666540260,3840,0.0,4,0,0.01,atop,normal
1666540315,10834,0.0,0,0,0.0,<cp>,normal
1666540440,3145,0.0,0,0,0.0,zeitgeist-data,normal
1666540535,10878,0.0,0,0,0.0,<mkdir>,normal
1666540560,10883,0.0,0,0,0.0,<modinfo>,normal
1666540560,3838,0.0,12,0,0.07,atop,normal
1666540570,10885,0.0,0,0,0.0,<cp>,normal
1666540580,1605,0.0,0,0,0.0,Xorg,normal
1666540590,2937,0.0,0,0,0.0,compiz,normal
1666540715,10914,0.0,0,0,0.0,<mkdir>,normal
1666540725,3910,0.0,0,0,0.0,<mesg>,normal
1666540730,3911,0.0,0,0,0.0,<clear>,normal
1666540775,2937,0.0,0,0,0.0,compiz,normal
1666540840,2623,0.0,0,0,0.0,bamfdaemon,normal
1666540845,10940,0.0,0,0,0.0,<modinfo>,normal
1666540855,1982,0.0,0,0,0.0,master,normal
1666541020,10975,0.0,0,0,0.0,<cp>,normal
1666541055,2583,0.0,0,0,0.0,dbus-daemon,normal
1666541085,2700,0.0,0,0,0.0,gnome-session,normal
1666541155,11002,0.0,0,0,0.0,<cp>,normal
1666541160,11003,0.0,0,0,0.0,<modinfo>,normal
1666541160,3938,4.0,4,0,0.08,sudo,normal
1666541210,11011,0.0,0,0,0.0,<modprobe>,normal
1666541215,11015,0.0,0,0,0.0,<cp>,normal
1666541250,11022,0.0,0,0,0.0,<modinfo>,normal
1666541280,11028,0.0,0,0,0.0,<cp>,normal
1666541300,11032,0.0,0,0,0.0,<modinfo>,normal
1666541325,11037,0.0,0,0,0.0,<cp>,normal
1666541410,11054,0.0,0,0,0.0,<mkdir>,normal
1666541420,3936,0.0,0,0,0.0,<ls>,normal
1666541460,3947,0.0,0,0,0.0,<lesspipe>,normal
1666541465,3945,0.0,0,0,0.0,<lesspipe>,normal
1666541535,11079,0.0,0,0,0.0,<cp>,normal
1666541640,11100,0.0,0,0,0.0,<cp>,normal
1666541665,11105,0.0,0,0,0.0,<mkdir>,normal
1666541690,2594,0.0,0,0,0.0,upstart-event-,normal
