ts,PID,MINFLT,MAJFLT,VSTEXT,VSIZE,RSIZE,VGROW,RGROW,MEM,CMD,class
1666538915,3349,859516,54,205,175.0,752.1,8.0,520.1,0.14,Web-Content,normal
1666538950,1575,8912,6,10427,710.4,54577.0,543.4,54345.0,0.01,navigation,normal
1666539005,2901,4584,28,48,554.0,17153.0,387.0,16921.0,0.0,vmtoolsd,normal
1666539070,3074,2116,1,131,645.7,11613.0,478.7,11381.0,0.0,zeitgeist-data,normal
1666539130,2097,188,0,608,357.3,5661.0,190.3,5429.0,0.0,atop,normal
1666539185,3079,1589,0,201,517.0,5217.0,350.0,4985.0,0.0,zeitgeist-daem,normal
1666539215,1943,1493,6,48,332.8,4625.0,165.8,4393.0,0.0,vmtoolsd,normal
1666539230,3256,1563,1,968,27465.0,4489.0,27298.0,4257.0,0.0,bash,normal
1666539285,2975,1000,0,81,452.3,3629.0,285.3,3397.0,0.0,gvfs-afc-volum,normal
1666539480,1349,413,0,37,20185.0,1197.0,20018.0,965.0,0.0,getty,normal
1666539525,2590,177,0,133,22585.0,985.0,22418.0,753.0,0.0,upstart-dbus-b,normal
1666539705,3085,14,0,139,419.5,9909.0,6.0,1.0,0.0,zeitgeist-fts,normal
1666539725,2529,14,0,251,78501.0,4865.0,6.0,1.0,0.0,window-stac-b,normal
1666539750,3041,15,0,78,294.7,3653.0,6.0,1.0,0.0,gvfsd-metadata,normal
1666539900,2789,14,0,59,681.4,11985.0,6.0,1.0,0.0,indicator-prin,normal
1666540085,2552,14,0,293,780.4,15745.0,6.0,1.0,0.0,bamfdaemon,normal
1666540195,3770,3027,0,160,17793.0,2589.0,10.0,1.0,0.0,atop,normal
1666540500,3814,343,0,12,173.0,233.0,6.0,1.0,0.0,<bash>,normal
1666540550,3349,15103,0,205,175.0,730.9,6.0,22.3,0.14,Web-Content,normal
1666540685,3830,300,0,12,173.0,233.0,6.0,1.0,0.0,<bash>,normal
1666540690,3834,242,0,12,173.0,233.0,6.0,1.0,0.0,<basename>,normal
1666540735,3349,10560,0,205,175.0,751.0,6.0,20545.0,0.14,Web-Content,normal
1666541070,2417,14,0,881,463.1,4113.0,6.0,1.0,0.0,gnome-eyring-,normal
1666541120,2512,14,0,427,40385.0,2537.0,6.0,1.0,0.0,dbus-daemon,normal
1666541850,3289,14,0,205,175.6,629.9,6.0,1.0,0.11,SLAM,normal
1666542050,2629,22,0,235,815.3,11789.0,6.0,1.0,0.0,gnome-session,normal
1666542080,1225,22,0,19,447.6,5409.0,6.0,1.0,0.0,politd,normal
1666542135,3767,2071,0,160,18121.0,2669.0,6.0,1.0,0.0,atop,normal
1666542175,1534,1017,0,2231,891.9,532.8,6170.0,2821.0,0.08,Xorg,normal
1666542250,2419,14,0,257,40469.0,2897.0,6.0,1.0,0.0,init,normal
1666542305,2889,14,0,1362,174.4,342.6,6.0,1.0,0.03,nautilus,normal
